ID,Linea,Inauguracion,Transbordo,Afluencia_Anual_2025,Afluencia_Diaria_Promedio,Elevador,EE,Elevador_y_EE
Balbuena,1,1969,0,2722907,7460,Si,Si,1
Balderas,1,1969,1,5884404,16122,Si,Si,1
Boulevard_Puerto_Aereo,1,1969,0,6025128,16507,Si,No,0
Candelaria,1,1969,1,6163377,16886,No,No,0
Chapultepec,1,1969,0,10346229,28346,Si,No,0
Cuauhtemoc,1,1969,0,3103823,8504,Si,Si,1
Gomez_Farias,1,1969,0,7276809,19936,No,Si,0
Insurgentes,1,1969,0,7792395,21349,Si,No,0
Isabel_la_Catolica,1,1969,0,4888517,13393,No,Si,0
Juanacatlan,1,1970,0,242089,663,Si,No,0
Merced,1,1969,0,12668453,34708,Si,No,0
Moctezuma,1,1969,0,6071223,16633,Si,Si,1
Observatorio,1,1970,0,1405966,3852,Si,No,0
Pantitlan,1,1984,3,11519216,31559,No,No,0
Pino_Suarez,1,1969,1,8953719,24531,Si,Si,1
Salto_del_Agua,1,1969,1,4216549,11552,Si,Si,1
San_Lazaro,1,1969,1,7054009,19326,No,No,0
Sevilla,1,1969,0,4625612,12673,Si,Si,1
Tacubaya,1,1970,2,660778,1810,Si,Si,1
Zaragoza,1,1984,0,8434364,23108,No,No,0
Allende,2,1970,0,9887251,27088,No,Si,0
Bellas_Artes,2,1970,1,9577017,26238,No,Si,0
Chabacano,2,1970,2,8028803,21997,Si,Si,1
Colegio_Militar,2,1970,0,4826598,13224,No,Si,0
Cuatro_Caminos,2,1984,0,35149370,96300,Si,Si,1
Cuitlahuac,2,1970,0,4891791,13402,No,Si,0
Ermita,2,1970,1,4890730,13399,Si,Si,1
General_Anaya,2,1970,0,6735749,18454,No,Si,0
Hidalgo,2,1970,1,9423264,25817,No,Si,0
Nativitas,2,1970,0,6206342,17004,No,Si,0
Normal,2,1970,0,10266123,28126,No,Si,0
Panteones,2,1984,0,3726746,10210,No,No,0
Pino_Suarez,2,1970,1,10987499,30103,Si,Si,1
Popotla,2,1970,0,2945035,8069,No,Si,0
Portales,2,1970,0,6410670,17563,No,Si,0
Revolucion,2,1970,0,9396895,25745,Si,Si,1
San_Antonio_Abad,2,1970,0,5967015,16348,No,Si,0
San_Cosme,2,1970,0,6748974,18490,,,0
Tacuba,2,1984,1,10736966,29416,No,Si,0
Tasquena,2,1970,0,19399878,53150,No,Si,0
Viaducto,2,1970,0,5462208,14965,No,Si,0
Villa_de_Cortes,2,1970,0,5529402,15149,No,Si,0
Xola,2,1970,0,6363584,17434,No,Si,0
Zocalo,2,1970,0,13446478,36840,No,Si,0
Balderas,3,1970,1,4096244,11223,Si,Si,1
Centro_Medico,3,1980,1,5611357,15374,Si,Si,1
Copilco,3,1983,0,11003970,30148,Si,Si,1
Coyoacan,3,1983,0,8984916,24616,No,No,0
Deportivo_18_de_Marzo,3,1979,1,9342720,25596,No,No,0
Division_del_Norte,3,1980,0,4602360,12609,No,No,0
Etiopia,3,1980,0,7829102,21450,Si,No,0
Eugenia,3,1980,0,4213179,11543,No,No,0
Guerrero,3,1970,1,2701765,7402,No,Si,0
Hidalgo,3,1970,1,5701862,15622,Si,No,0
Hospital_General,3,1970,0,5866377,16072,Si,Si,1
Indios_Verdes,3,1979,0,32375391,88700,No,No,0
Juarez,3,1970,0,4788106,13118,Si,Si,1
La_Raza,3,1979,1,10081207,27620,Si,No,0
Miguel_Angel_de_Quevedo,3,1983,0,10751018,29455,No,Si,0
Ninos_Heroes,3,1970,0,6356995,17416,No,No,0
Potrero,3,1979,0,4584191,12559,No,No,0
Tlatelolco,3,1970,0,5319164,14573,No,No,0
Universidad,3,1983,0,18872050,51704,No,No,0
Viveros,3,1983,0,6291884,17238,No,No,0
Zapata,3,1983,1,5688290,15584,No,No,0
Bondojito,4,1981,0,1860784,5098,No,No,0
Canal_del_Norte,4,1981,0,2449122,6710,No,No,0
Candelaria,4,1981,1,2883240,7899,No,No,0
Consulado,4,1981,1,1162969,3186,No,Si,0
Fray_Servando,4,1982,0,2867782,7857,No ,Si,0
Jamaica,4,1982,1,2323059,6365,No,Si,0
Martin_Carrera,4,1981,1,7512114,20581,No,No,0
Morelos,4,1981,1,2287562,6267,No,Si,0
Santa_Anita,4,1982,1,647661,1774,No,Si,0
Talisman,4,1981,0,1103300,3023,No,No,0
Aragon,5,1981,0,2274874,6233,No,No,0
Autobuses_del_Norte,5,1982,0,6634946,18178,Si,No,0
Consulado,5,1981,1,1546989,4238,No,No,0
Eduardo_Molina,5,1981,0,2216308,6072,No,No,0
Hangares,5,1981,0,1619714,4438,No,No,0
Instituto_del_Petroleo,5,1982,1,1825303,5001,No,No,0
La_Raza,5,1982,1,3099507,8492,Si,No,0
Misterios,5,1982,0,2426919,6649,No,No,0
Oceania,5,1981,1,2700258,7398,No,No,0
Pantitlan,5,1981,3,16671020,45674,No,No,0
Politecnico,5,1982,0,8942293,24499,No,No,0
Terminal_Aerea,5,1981,0,5355557,14673,,,0
Valle_Gomez,5,1982,0,1430509,3919,No,No,0
